Identifier,Name,Latitude,Longitude,Barometer height ASL (m),Station Height ASL (m)
NZAA,Auckland Airport,37.006S,174.789E,7,7
NZAAA,Auckland Aero AWS,37.009S,174.807E,7,7
NZAP,Taupo Airport,38.750S,176.083E,401,407
NZAPA,Taupo Aero,38.743S,176.081E,402,407
NZAPX,Taupo WXT AWS,38.684S,176.073E,385,385
NZAR,Ardmore Aero,37.030S,174.971E,41,34
NZARA,Ardmore Aero AWS,37.030S,174.971E,41,34
NZAS,Ashburton,43.900S,171.750E,,89
NZASA,Ashburton Aero AWS,43.903S,171.804E,,90
NZASF,Ashley AWF,43.167S,172.683E,,280
NZAUX,Arthurs Pass AWS,42.944S,171.564E,742,742
NZAWA,Awatere Tce Vineyard,41.600S,174.117E,,37
NZAWW,Awhitu,37.129S,174.609E,93,90
NZBIT,Bay Of Islands AWS,35.262S,174.073E,,20
NZBMF,Balmoral AWF,42.867S,172.750E,,198
NZBOL,Bolithos,41.350S,173.150E,,10
NZBRX,Brothers Is AWS,41.103S,174.442E,68,68
NZBVE,Bay View,39.400S,176.867E,,5
NZBWX,Birchwood WXT AWS,45.944S,167.901E,149,147
NZCAF,Cannington AWF,44.367S,170.933E,,180
NZCAX,Campbell Island AWS,52.551S,169.150E,19,18
NZCCX,Cape Campbell AWS,41.727S,174.276E,32,2
NZCH,Christchurch Airport,43.490S,172.527E,35,37
NZCHA,Christchurch AWS,43.490S,172.527E,35,37
NZCI,Chatham Island,43.950S,176.567W,48,44
NZCIA,Chatham Island Aero,43.817S,176.475W,15,13
NZCKX,Cape Kidnappers WXT,39.645S,177.092E,113,109
NZCM,McMurdo,77.850S,166.667E,24,34
NZCME,Cromwell,45.067S,169.150E,,171
NZCOX,Cape Colville AWS,36.483S,175.333E,23,22
NZCPX,Castlepoint AWS,40.904S,176.212E,120,118
NZCRX,Cape Reinga AWS,34.430S,172.682E,212,214
NZCTE,Crownthorpe,39.583S,176.583E,,140
NZCTH,Chertsey,43.793S,171.960E,,120
NZCTX,Cape Turnagain WXT,40.485S,176.615E,292,285
NZCUA,Culverden WXT AWS,42.767S,172.889E,181,174
NZDGF,Dargaville AWF,35.950S,173.833E,,15
NZDN,Dunedin Airport,45.927S,170.205E,2,1
NZDNA,Dunedin Aero AWS,45.927S,170.197E,2,1
NZDNW,Dunedin City Wind,45.880S,170.520E,,15
NZDOF,Dovedale AWF,41.350S,172.983E,,320
NZDRF,Darfield AWF,43.483S,172.150E,,190
NZDSF,Deep Stream,45.733S,169.833E,,700
NZDV,Dargaville Fwi,35.950S,173.833E,18,15
NZEAT,Eade Hut,43.517S,170.467E,,975
NZEDX,Enderby Island AWS,50.493S,166.296E,40,39
NZELT,Elcho Flat,43.917S,169.833E,,701
NZETX,Ettrick HortPlus,45.637S,169.364E,,80
NZFAX,Fairlie WXT AWS,44.038S,170.771E,403,396
NZFHX,Flat Hills WXT AWS,39.893S,175.658E,261,254
NZFSX,Farewell Spit AWS,40.550S,173.000E,5,3
NZFWW,Cape Foulwind AWS,41.750S,171.467E,,72
NZGAX,Galatea WXT AWS,38.408S,176.742E,175,168
NZGCE,Gore EDR,46.112S,168.888E,,123
NZGIW,Goat Island Wind,45.824S,170.626E,,60
NZGME,Gimblett,39.600S,176.767E,,30
NZGS,Gisborne Aerodrome,38.664S,177.973E,5,5
NZGSA,Gisborne AWS,38.659S,177.985E,5,5
NZGVX,Golden Valley WXT,37.336S,175.890E,264,261
NZHAX,Hawera AWS,39.610S,174.292E,100,98
