,Station information:,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
1,Waipara West Ews,26607,H32063,-43.07026,172.65344,130,H,Niwa
2,"Note: Position precision types are: ""W"" = based on whole minutes"," ""T"" = estimated to tenth minute",,,,,,
3,G = derived from gridref ," ""E"" = error cases derived from gridref",,,,,,
4,H = based on GPS readings (NZGD49)," ""D"" = by definition i.e. grid points.",,,,,,
5,,,,,,,,
6,ScreenObs: Hourly,,,,,,,
7,Station,Date(NZST),Time(NZST),Tair(C),Twet(C),RH(%),Tdew(C),
8,Waipara West Ews,20230101,0,10.3,9.4,88,8.4,
9,Waipara West Ews,20230101,100,8.4,7.8,92,7.2,
10,Waipara West Ews,20230101,200,8.2,7.8,94,7.3,
11,Waipara West Ews,20230101,300,8.1,7.6,93,7.1,
12,Waipara West Ews,20230101,400,8,7.5,93,6.9,
13,Waipara West Ews,20230101,500,7.6,7.1,92,6.4,
14,Waipara West Ews,20230101,600,8.7,8.1,91,7.3,
15,Waipara West Ews,20230101,700,11,9.7,84,8.4,
16,Waipara West Ews,20230101,800,15.1,11.9,66,8.8,
17,Waipara West Ews,20230101,900,16.5,12.5,60,8.7,
18,Waipara West Ews,20230101,1000,17.8,13.3,57,9.2,
19,Waipara West Ews,20230101,1100,18.6,14.1,58,10.2,
20,Waipara West Ews,20230101,1200,17.5,14.2,68,11.5,
21,Waipara West Ews,20230101,1300,17.9,14.6,68,11.9,
22,Waipara West Ews,20230101,1400,18.3,14.3,62,10.9,
23,Waipara West Ews,20230101,1500,18.8,14.4,59,10.6,
24,Waipara West Ews,20230101,1600,18.7,14.4,60,10.8,
25,Waipara West Ews,20230101,1700,18,13.7,59,9.9,
26,Waipara West Ews,20230101,1800,17,12.7,58,8.7,
27,Waipara West Ews,20230101,1900,15.4,12.1,66,9.1,
28,Waipara West Ews,20230101,2000,13.7,11.3,73,9,
29,Waipara West Ews,20230101,2100,11.3,9.7,80,8,
30,Waipara West Ews,20230101,2200,8.7,7.9,89,7,
31,Waipara West Ews,20230101,2300,9,8.4,92,7.8,
32,Waipara West Ews,20230102,0,8.7,8.1,91,7.3,
33,Waipara West Ews,20230102,100,8.3,7.8,93,7.2,
34,Waipara West Ews,20230102,200,8.4,7.9,93,7.3,
35,Waipara West Ews,20230102,300,8,7.6,94,7.1,
36,Waipara West Ews,20230102,400,7.5,7.1,94,6.6,
37,Waipara West Ews,20230102,500,7.1,6.7,94,6.2,
38,Waipara West Ews,20230102,600,8.2,7.7,93,7.2,
39,Waipara West Ews,20230102,700,11.1,10,86,8.9,
40,Waipara West Ews,20230102,800,15.3,12.3,68,9.5,
41,Waipara West Ews,20230102,900,15.8,12.3,64,9,
42,Waipara West Ews,20230102,1000,18.2,13.8,59,10.1,
43,Waipara West Ews,20230102,1100,19.6,14.6,55,10.3,
44,Waipara West Ews,20230102,1200,20.7,15,51,10.2,
