Location,DateTime(UTC),Wind Dir,Wind Spd(kt),Max Gust(kt),Temp,Dew Point,RH,Rainfall(mm),Pressure,Cloud
NZNBX,202402142330,120,10,12,19.8,11.9,60.4,-999,1015.6,-999
NZNBX,202402150000,140,9,12,19.8,12.9,64.5,-999,1015.4,-999
NZNBX,202402150030,120,6,11,19.7,14.1,70.1,-999,1015.4,-999
NZNBX,202402150100,80,6,10,19.9,14.8,72.3,-999,1015.4,-999
NZNBX,202402150130,80,4,9,19.5,12.8,65.4,-999,1015.1,-999
NZNBX,202402150200,20,7,14,23.2,12.0,49.3,-999,1015.1,-999
NZNBX,202402150230,310,13,25,26.0,9.2,34.6,-999,1015.0,-999
NZNBX,202402150300,330,16,26,24.9,9.2,37.1,-999,1014.8,-999
NZNBX,202402150330,340,13,26,24.4,10.2,40.8,-999,1015.1,-999
NZNBX,202402150400,310,19,28,24.1,9.1,38.6,-999,1015.1,-999
NZNBX,202402150430,340,16,28,22.8,11.3,48.2,-999,1015.9,-999
NZNBX,202402150500,350,12,25,21.4,12.7,57.6,-999,1016.1,-999
NZNBX,202402150530,360,15,17,21.4,12.3,56.2,-999,1015.9,-999
NZNBX,202402150600,350,14,18,21.0,13.1,60.7,-999,1016.2,-999
NZNBX,202402150630,340,16,19,22.0,10.7,48.6,-999,1016.0,-999
NZNBX,202402150700,350,14,19,21.1,12.2,56.9,-999,1016.4,-999
NZNBX,202402150730,350,13,18,20.4,12.3,59.9,-999,1016.6,-999
NZNBX,202402150800,330,11,15,21.6,10.2,48.2,-999,1016.9,-999
NZNBX,202402150830,300,4,15,21.5,9.8,47.4,-999,1017.8,-999
NZNBX,202402150900,260,10,20,19.7,13.4,67.2,-999,1018.9,-999
NZNBX,202402150930,240,12,21,17.3,13.3,77.5,-999,1019.3,-999
NZNBX,202402151000,240,13,23,16.5,13.2,80.7,-999,1019.8,-999
NZNBX,202402151030,240,13,23,16.1,12.8,80.6,-999,1020.0,-999
NZNBX,202402151100,240,12,24,15.9,12.3,79.4,-999,1020.2,-999
NZNBX,202402151130,230,11,24,15.9,12.0,77.4,-999,1020.3,-999
NZNBX,202402151200,220,13,22,15.4,11.7,78.5,-999,1020.7,-999
NZNBX,202402151230,220,11,22,15.3,11.5,78.0,-999,1021.1,-999
NZNBX,202402151300,260,6,18,15.3,11.2,76.5,-999,1021.4,-999
NZNBX,202402151330,230,9,16,15.0,11.2,78.0,-999,1021.4,-999
NZNBX,202402151400,290,4,14,14.6,11.3,80.8,-999,1022.1,-999
NZNBX,202402151430,260,6,10,14.4,11.3,81.9,-999,1022.1,-999
NZNBX,202402151500,260,7,13,14.2,11.1,81.6,-999,1022.1,-999
NZNBX,202402151530,240,7,14,14.2,11.0,81.2,-999,1022.4,-999
NZNBX,202402151600,250,6,14,14.2,11.1,81.4,-999,1022.8,-999
NZNBX,202402151630,260,6,10,14.2,11.0,81.3,-999,1022.8,-999
NZNBX,202402151700,260,7,10,14.1,10.7,80.2,-999,1023.1,-999
NZNBX,202402151730,260,6,10,14.1,10.5,78.9,-999,1023.5,-999
NZNBX,202402151800,260,5,9,14.1,10.3,77.9,-999,1023.9,-999
NZNBX,202402151830,250,5,9,14.2,10.2,76.7,-999,1024.0,-999
NZNBX,202402151900,260,5,9,14.5,9.9,73.7,-999,1024.3,-999
NZNBX,202402151930,270,5,7,14.8,9.8,72.0,-999,1024.8,-999
NZNBX,202402152000,250,2,7,15.6,9.8,68.5,-999,1025.0,-999
NZNBX,202402152030,340,3,6,15.9,10.1,68.6,-999,1025.3,-999
NZNBX,202402152100,20,4,7,16.1,10.4,68.9,-999,1025.4,-999
NZNBX,202402152130,30,5,9,16.0,10.9,71.8,-999,1025.6,-999
NZNBX,202402152200,40,8,11,15.9,11.5,75.1,-999,1025.7,-999
NZNBX,202402152230,60,9,14,15.9,11.6,75.6,-999,1025.7,-999
NZNBX,202402152300,60,9,14,15.8,11.6,76.2,-999,1025.6,-999
NZNGX,202402142330,120,3,11,12.0,9.8,86.3,0.2,1016.8,-999
NZNGX,202402150000,130,2,8,12.4,10.4,87.2,0.0,1016.8,-999
NZNGX,202402150030,120,4,8,12.4,10.4,88.1,0.0,1016.7,-999
NZNGX,202402150100,170,4,8,12.8,10.2,84.0,0.0,1016.8,-999
NZNGX,202402150130,190,7,10,12.9,10.7,86.6,0.0,1016.8,-999
NZNGX,202402150200,200,7,10,12.5,11.3,92.4,0.2,1017.2,-999
NZNGX,202402150230,200,9,12,12.9,12.2,95.4,0.4,1017.0,-999
NZNGX,202402150300,210,13,16,12.0,10.8,92.6,0.2,1017.3,-999
NZNGX,202402150330,210,13,17,11.5,10.1,90.7,0.0,1017.4,-999
NZNGX,202402150400,210,12,17,12.2,10.8,91.3,0.0,1017.5,-999
NZNGX,202402150430,210,10,15,12.5,11.4,92.7,0.0,1017.7,-999
NZNGX,202402150500,250,10,16,12.7,10.4,85.7,0.0,1018.0,-999
NZNGX,202402150530,240,12,16,13.6,10.6,82.4,0.0,1018.2,-999
NZNGX,202402150600,240,12,16,13.5,9.5,76.3,0.0,1018.5,-999
NZNGX,202402150630,250,9,16,13.4,9.7,78.3,0.0,1018.7,-999
NZNGX,202402150700,240,12,17,13.6,9.1,74.5,0.0,1018.9,-999
NZNGX,202402150730,240,13,18,13.4,6.5,63.0,0.0,1019.2,-999
NZNGX,202402150800,240,12,18,12.4,7.0,69.4,0.0,1019.5,-999
NZNGX,202402150830,240,12,18,12.0,7.3,73.2,0.0,1019.9,-999
